선행 작업 (먼저 해야 할 것),→,후행 작업 (다음에 할 것),연결 이유,중요도
양가 부모님 결혼 의사 전달,→,첫 인사 일정 잡기,부모님 동의 후 첫 인사 진행,높음
부모님께 택일 요청,→,예식 날짜 확정,택일 받은 날짜와 홀 빈자리 맞추기,높음
예식장 지역 선정,→,예식장 후보 리스트업,지역 결정 후 해당 지역 업체 조사,높음
예식장 투어 예약,→,주차장 확인,투어 시 직접 확인,중간
예식장 투어 예약,→,밥맛 시식,투어 시 직접 시식,중간
예식장 투어 예약,→,예식장 밝기/분위기 확인,투어 시 직접 확인,중간
예식 날짜 확정,→,예식장 계약,날짜 확정 후 계약,★핵심
예식장 계약,→,플래너 계약,홀 확정 후 플래너 선정,★핵심
예식장 계약,→,본식 스냅 예약,날짜 확정 후 바로 예약 (마감 빠름),★핵심
예식장 계약,→,본식 DVD 예약,날짜 확정 후 바로 예약,★핵심
플래너 계약,→,스튜디오 예약,플래너 제휴 업체 중 선정,높음
플래너 계약,→,드레스 샵 후보 리스트업,플래너 제휴 업체 확인,높음
플래너 계약,→,메이크업 샵 선정,플래너 제휴 업체 중 선정,높음
웨딩링 사이즈 측정,→,웨딩링 주문,사이즈 확정 후 주문,높음
웨딩링 주문,→,스튜디오 촬영 진행,반지 끼고 촬영하려면 미리 주문,중간
드레스 투어 (다양한 가격대),→,본식 드레스 홀딩,투어 후 마음에 드는 드레스 선점,높음
본식 드레스 홀딩,→,촬영용 드레스 선택,본식 드레스 결정 후 촬영용 선택,높음
촬영용 드레스 선택,→,스튜디오 촬영 일정 확정,드레스 준비 후 촬영 가능,★핵심
신랑 예복 주문,→,스튜디오 촬영 진행,예복 준비 후 촬영,높음
스튜디오 촬영 진행,→,촬영 후 셀렉 진행,촬영 후 사진 선택,높음
촬영 후 셀렉 진행,→,원본 파일 구매,셀렉 후 원본 구매,높음
원본 파일 구매,→,사설 보정 의뢰,원본 있어야 보정 가능,중간
촬영 후 셀렉 진행,→,모바일 청첩장 제작,보정본 사진으로 청첩장 제작 (2~3개월 후),★핵심
모바일 청첩장 제작,→,청첩장 모임 시작,청첩장 있어야 모임 가능,★핵심
상견례 사전 조율,→,상견례 진행,민감한 얘기 미리 정리 후 진행,높음
상견례 장소 섭외,→,상견례 진행,장소 확보 후 진행,높음
신혼집 지역 선정,→,신혼집 매물 조사,지역 결정 후 매물 조사,높음
신혼집 매물 조사,→,신혼집 계약,매물 확인 후 계약,높음
신혼집 계약,→,빌트인 가전 확인,계약 후 구조 파악,★핵심
신혼집 계약,→,집 실측,계약 후 실측 가능,★핵심
빌트인 가전 확인,→,가전 품목 리스트업,중복 구매 방지,높음
집 실측,→,가전 품목 리스트업,크기에 맞는 가전 선정,높음
가전 품목 리스트업,→,가전 구매,리스트 확정 후 구매,높음
가전 구매,→,가구 구매,VIP 실적으로 가구 할인,높음
가구 구매,→,주방용품 구매,선물/사은품 확인 후 필요한 것만,중간
드레스 최종 가봉,→,부케 디자인 결정,드레스 색감에 맞춰 부케 결정,높음
드레스 최종 가봉,→,신랑 넥타이 색상 결정,드레스와 매칭,중간
부케 디자인 결정,→,부케 주문,디자인 확정 후 주문,높음
식순 작성,→,사회자 섭외,식순 있어야 대본 공유,높음
BGM 선곡,→,식전 영상 제작,음악과 영상 조화,중간
혼주 메이크업 업체 선정,→,혼주 메이크업 예약,업체 선정 후 예약,높음
어머니 한복 결정,→,어머니 한복 예약/주문,결정 후 예약,높음
헬퍼비 봉투 준비,→,예식 진행,당일 전 준비 완료,높음
축의금 관리자 지정,→,예식 진행,당일 전 지정 완료,높음
예식 진행,→,축의금 정리,예식 후 정리,높음
축의금 정리,→,감사 인사,정리 후 인사 발송,높음
